COUNTRY,VARIABLE,UNIT,MEASURE,TIME_FORMAT,obsTime,obsValue,OBS_STATUS
CAB,18_T169,PERCENTAGE,VAL,P1Y,2018,19.700001,NA
CAB,18_T170,PERCENTAGE,VAL,P1Y,2013,23.1,NA
CAB,18_T170,PERCENTAGE,VAL,P1Y,2018,22.9,NA
CAB,18_T171,PERCENTAGE,VAL,P1Y,2018,26.299999,NA
CAB,18_T172,PERCENTAGE,VAL,P1Y,2018,29.299999,NA
CAB,18_T173,PERCENTAGE,VAL,P1Y,2018,7.1999998,NA
CAB,19_T174,PERCENTAGE,VAL,P1Y,2013,81.300003,NA
CAB,19_T174,PERCENTAGE,VAL,P1Y,2018,82.5,NA
CAB,19_T175,PERCENTAGE,VAL,P1Y,2013,31.200001,NA
CAB,19_T175,PERCENTAGE,VAL,P1Y,2018,29.200001,NA
CAB,19_T177,PERCENTAGE,VAL,P1Y,2018,65.400002,NA
CAB,19_T179,PERCENTAGE,VAL,P1Y,2013,80.5,NA
CAB,19_T179,PERCENTAGE,VAL,P1Y,2018,81.400002,NA
CAB,19_T187,PERCENTAGE,VAL,P1Y,2018,20.9,NA
CAB,19_T188,PERCENTAGE,VAL,P1Y,2013,18.4,NA
CAB,19_T188,PERCENTAGE,VAL,P1Y,2018,22.200001,NA
CAB,20_T016,PERCENTAGE,VAL,P1Y,2018,78.900002,NA
CAB,20_T176,PERCENTAGE,VAL,P1Y,2018,54.799999,NA
CAB,20_T180,PERCENTAGE,VAL,P1Y,2013,16.1,NA
CAB,20_T180,PERCENTAGE,VAL,P1Y,2018,17.4,NA
CAB,20_T189,PERCENTAGE,VAL,P1Y,2018,3.8,NA
CAB,1_T001,YEARS,VAL,P1Y,2018,40.200001,NA
CAB,1_T002,YEARS,VAL,P1Y,2018,13.1,NA
CAB,2_T005,YEARS,VAL,P1Y,2018,51,NA
CAB,2_T006,YEARS,VAL,P1Y,2018,13.3,NA
CAB,1_T000,PERCENTAGE,SE,P1Y,2013,1.2638131,NA
CAB,1_T000,PERCENTAGE,SE,P1Y,2018,2.3494325,NA
CAB,1_T029,PERCENTAGE,SE,P1Y,2013,1.2036389,NA
CAB,1_T029,PERCENTAGE,SE,P1Y,2018,1.5283108,NA
CAB,2_T004,PERCENTAGE,SE,P1Y,2013,3.768575,NA
CAB,2_T004,PERCENTAGE,SE,P1Y,2018,6.6696186,NA
CAB,2_T030,PERCENTAGE,SE,P1Y,2013,2.5835178,NA
CAB,2_T030,PERCENTAGE,SE,P1Y,2018,13.8521,NA
CAB,3_T022,PERCENTAGE,SE,P1Y,2018,0.31455401,NA
CAB,3_T023,PERCENTAGE,SE,P1Y,2018,0.65157044,NA
CAB,3_T024,PERCENTAGE,SE,P1Y,2013,0.55911291,NA
CAB,3_T024,PERCENTAGE,SE,P1Y,2018,0.86314863,NA
CAB,3_T078,PERCENTAGE,SE,P1Y,2018,2.2892151,NA
CAB,3_T079,PERCENTAGE,SE,P1Y,2018,2.1909328,NA
CAB,4_T072,PERCENTAGE,SE,P1Y,2018,5.4091454,NA
CAB,4_T073,PERCENTAGE,SE,P1Y,2018,1.4119314,NA
CAB,5_T032,PERCENTAGE,SE,P1Y,2018,1.8011277,NA
CAB,5_T033,PERCENTAGE,SE,P1Y,2018,2.0706058,NA
CAB,5_T034,PERCENTAGE,SE,P1Y,2018,3.9739516,NA
CAB,6_T035,PERCENTAGE,SE,P1Y,2018,12.328877,NA
CAB,6_T092,PERCENTAGE,SE,P1Y,2018,6.0554338,NA
CAB,6_T094,PERCENTAGE,SE,P1Y,2018,4.0911317,NA
CAB,7_T012,PERCENTAGE,SE,P1Y,2018,0.51589763,NA
CAB,7_T105,PERCENTAGE,SE,P1Y,2018,3.1230941,NA
CAB,7_T106,PERCENTAGE,SE,P1Y,2018,2.9242327,NA
CAB,7_T107,PERCENTAGE,SE,P1Y,2018,0.85925168,NA
CAB,8_T031,PERCENTAGE,SE,P1Y,2018,0.68564236,NA
CAB,8_T036,PERCENTAGE,SE,P1Y,2018,12.735291,NA
CAB,9_T025,PERCENTAGE,SE,P1Y,2018,1.6933931,NA
CAB,9_T026,PERCENTAGE,SE,P1Y,2018,1.2909192,NA
CAB,10_T101,PERCENTAGE,SE,P1Y,2018,1.6932685,NA
CAB,10_T102,PERCENTAGE,SE,P1Y,2018,0.36325544,NA
CAB,10_T103,PERCENTAGE,SE,P1Y,2018,1.0979983,NA
CAB,11_T096,PERCENTAGE,SE,P1Y,2018,0.44307724,NA
CAB,11_T097,PERCENTAGE,SE,P1Y,2018,3.3563809,NA
