COU,SEX,IND,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
CAN,FEMALE,FAM18A,P1Y,NBR,0,2009,541.5
CAN,FEMALE,FAM18A,P1Y,NBR,0,2012,540.7
CAN,FEMALE,FAM18A,P1Y,NBR,0,2015,539.8
CAN,FEMALE,FAM18A,P1Y,NBR,0,2018,534.7
CAN,MALE,FAM18B,P1Y,NBR,0,2006,534.1
CAN,MALE,FAM18B,P1Y,NBR,0,2009,532.7
CAN,MALE,FAM18B,P1Y,NBR,0,2012,523.1
CAN,MALE,FAM18B,P1Y,NBR,0,2015,520.2
CAN,MALE,FAM18B,P1Y,NBR,0,2018,514.5
CAN,FEMALE,FAM18B,P1Y,NBR,0,2006,519.9
CAN,FEMALE,FAM18B,P1Y,NBR,0,2009,520.8
CAN,FEMALE,FAM18B,P1Y,NBR,0,2012,513
CAN,FEMALE,FAM18B,P1Y,NBR,0,2015,511.1
CAN,FEMALE,FAM18B,P1Y,NBR,0,2018,509.5
CAN,MALE,FAM18C,P1Y,NBR,0,2006,536.5
CAN,MALE,FAM18C,P1Y,NBR,0,2009,531
CAN,MALE,FAM18C,P1Y,NBR,0,2012,526.9
CAN,MALE,FAM18C,P1Y,NBR,0,2015,528.3
CAN,MALE,FAM18C,P1Y,NBR,0,2018,516.5
CAN,FEMALE,FAM18C,P1Y,NBR,0,2006,532.4
CAN,FEMALE,FAM18C,P1Y,NBR,0,2009,526.4
CAN,FEMALE,FAM18C,P1Y,NBR,0,2012,524
CAN,FEMALE,FAM18C,P1Y,NBR,0,2015,527.2
CAN,FEMALE,FAM18C,P1Y,NBR,0,2018,519.6
CZE,MALE,FAM18A,P1Y,NBR,0,2006,462.8
CZE,MALE,FAM18A,P1Y,NBR,0,2009,455.5
CZE,MALE,FAM18A,P1Y,NBR,0,2012,474
CZE,MALE,FAM18A,P1Y,NBR,0,2015,474.5
CZE,MALE,FAM18A,P1Y,NBR,0,2018,474
CZE,FEMALE,FAM18A,P1Y,NBR,0,2006,508.6
CZE,FEMALE,FAM18A,P1Y,NBR,0,2009,504
CZE,FEMALE,FAM18A,P1Y,NBR,0,2012,512.8
CZE,FEMALE,FAM18A,P1Y,NBR,0,2015,500.7
CZE,FEMALE,FAM18A,P1Y,NBR,0,2018,507.2
CZE,MALE,FAM18B,P1Y,NBR,0,2006,514.4
CZE,MALE,FAM18B,P1Y,NBR,0,2009,495.1
CZE,MALE,FAM18B,P1Y,NBR,0,2012,504.7
CZE,MALE,FAM18B,P1Y,NBR,0,2015,495.8
CZE,MALE,FAM18B,P1Y,NBR,0,2018,501.2
CZE,FEMALE,FAM18B,P1Y,NBR,0,2006,503.9
CZE,FEMALE,FAM18B,P1Y,NBR,0,2009,490.2
CZE,FEMALE,FAM18B,P1Y,NBR,0,2012,492.9
CZE,FEMALE,FAM18B,P1Y,NBR,0,2015,488.7
CZE,FEMALE,FAM18B,P1Y,NBR,0,2018,497.7
CZE,MALE,FAM18C,P1Y,NBR,0,2006,515
CZE,MALE,FAM18C,P1Y,NBR,0,2009,498.2
CZE,MALE,FAM18C,P1Y,NBR,0,2012,508.7
CZE,MALE,FAM18C,P1Y,NBR,0,2015,497
CZE,MALE,FAM18C,P1Y,NBR,0,2018,496
CZE,FEMALE,FAM18C,P1Y,NBR,0,2006,510.1
CZE,FEMALE,FAM18C,P1Y,NBR,0,2009,503.1
CZE,FEMALE,FAM18C,P1Y,NBR,0,2012,507.9
CZE,FEMALE,FAM18C,P1Y,NBR,0,2015,488.4
CZE,FEMALE,FAM18C,P1Y,NBR,0,2018,497.6
DNK,MALE,FAM18A,P1Y,NBR,0,2006,479.5
DNK,MALE,FAM18A,P1Y,NBR,0,2009,480.4
DNK,MALE,FAM18A,P1Y,NBR,0,2012,480.9
DNK,MALE,FAM18A,P1Y,NBR,0,2015,488.8
DNK,MALE,FAM18A,P1Y,NBR,0,2018,486.5
DNK,FEMALE,FAM18A,P1Y,NBR,0,2006,509.3
DNK,FEMALE,FAM18A,P1Y,NBR,0,2009,509.2
DNK,FEMALE,FAM18A,P1Y,NBR,0,2012,511.5
DNK,FEMALE,FAM18A,P1Y,NBR,0,2015,511
DNK,FEMALE,FAM18A,P1Y,NBR,0,2018,515.8
DNK,MALE,FAM18B,P1Y,NBR,0,2006,518.2
DNK,MALE,FAM18B,P1Y,NBR,0,2009,511.4
DNK,MALE,FAM18B,P1Y,NBR,0,2012,507
DNK,MALE,FAM18B,P1Y,NBR,0,2015,515.8
DNK,MALE,FAM18B,P1Y,NBR,0,2018,511.3
DNK,FEMALE,FAM18B,P1Y,NBR,0,2006,507.9
DNK,FEMALE,FAM18B,P1Y,NBR,0,2009,495.3
DNK,FEMALE,FAM18B,P1Y,NBR,0,2012,493
DNK,FEMALE,FAM18B,P1Y,NBR,0,2015,506.4
DNK,FEMALE,FAM18B,P1Y,NBR,0,2018,507.5
DNK,MALE,FAM18C,P1Y,NBR,0,2006,500.4
DNK,MALE,FAM18C,P1Y,NBR,0,2009,505.2
DNK,MALE,FAM18C,P1Y,NBR,0,2012,503.5
DNK,MALE,FAM18C,P1Y,NBR,0,2015,504.9
DNK,MALE,FAM18C,P1Y,NBR,0,2018,491.6
DNK,FEMALE,FAM18C,P1Y,NBR,0,2006,491.5
DNK,FEMALE,FAM18C,P1Y,NBR,0,2009,493.6
DNK,FEMALE,FAM18C,P1Y,NBR,0,2012,493.4
DNK,FEMALE,FAM18C,P1Y,NBR,0,2015,498.9
DNK,FEMALE,FAM18C,P1Y,NBR,0,2018,493.7
FIN,MALE,FAM18A,P1Y,NBR,0,2006,521.4
FIN,MALE,FAM18A,P1Y,NBR,0,2009,508.4
FIN,MALE,FAM18A,P1Y,NBR,0,2012,494
FIN,MALE,FAM18A,P1Y,NBR,0,2015,504
FIN,MALE,FAM18A,P1Y,NBR,0,2018,494.8
FIN,FEMALE,FAM18A,P1Y,NBR,0,2006,572
FIN,FEMALE,FAM18A,P1Y,NBR,0,2009,563.5
FIN,FEMALE,FAM18A,P1Y,NBR,0,2012,555.7
FIN,FEMALE,FAM18A,P1Y,NBR,0,2015,550.5
FIN,FEMALE,FAM18A,P1Y,NBR,0,2018,546.3
FIN,MALE,FAM18B,P1Y,NBR,0,2006,554.3
FIN,MALE,FAM18B,P1Y,NBR,0,2009,541.8
FIN,MALE,FAM18B,P1Y,NBR,0,2012,517.4
FIN,MALE,FAM18B,P1Y,NBR,0,2015,507.5
FIN,MALE,FAM18B,P1Y,NBR,0,2018,504.3
FIN,FEMALE,FAM18B,P1Y,NBR,0,2006,542.5
FIN,FEMALE,FAM18B,P1Y,NBR,0,2009,539.2
FIN,FEMALE,FAM18B,P1Y,NBR,0,2012,520.2
FIN,FEMALE,FAM18B,P1Y,NBR,0,2015,515
FIN,FEMALE,FAM18B,P1Y,NBR,0,2018,510.4
FIN,MALE,FAM18C,P1Y,NBR,0,2006,561.8
FIN,MALE,FAM18C,P1Y,NBR,0,2009,546.4
FIN,MALE,FAM18C,P1Y,NBR,0,2012,537.4
FIN,MALE,FAM18C,P1Y,NBR,0,2015,521.5
FIN,MALE,FAM18C,P1Y,NBR,0,2018,510.2
FIN,FEMALE,FAM18C,P1Y,NBR,0,2006,564.9
FIN,FEMALE,FAM18C,P1Y,NBR,0,2009,561.8
FIN,FEMALE,FAM18C,P1Y,NBR,0,2012,553.9
FIN,FEMALE,FAM18C,P1Y,NBR,0,2015,540.5
FIN,FEMALE,FAM18C,P1Y,NBR,0,2018,534
FRA,MALE,FAM18A,P1Y,NBR,0,2006,469.8
FRA,MALE,FAM18A,P1Y,NBR,0,2009,475
FRA,MALE,FAM18A,P1Y,NBR,0,2012,483
FRA,MALE,FAM18A,P1Y,NBR,0,2015,484.6
FRA,MALE,FAM18A,P1Y,NBR,0,2018,480.3
FRA,FEMALE,FAM18A,P1Y,NBR,0,2006,504.6
FRA,FEMALE,FAM18A,P1Y,NBR,0,2009,515.2
FRA,FEMALE,FAM18A,P1Y,NBR,0,2012,526.8
