LOCATION,VAR,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue
BEL,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,34.312
BEL,BB-P100-TOT,P1Y,100HAB,0,2014,35.786
BEL,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,34.545
BEL,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,35.786
BEL,BB-P100-TOT,P1Y,100HAB,0,2015,36.554
BEL,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,36.274
BEL,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,36.554
BEL,BB-P100-TOT,P1Y,100HAB,0,2016,37.687
BEL,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,37.243
BEL,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,37.687
BEL,BB-P100-TOT,P1Y,100HAB,0,2017,38.496
BEL,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,38.125
BEL,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,38.496
BEL,BB-P100-TOT,P1Y,100HAB,0,2018,39.406
BEL,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,38.781
BEL,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,39.406
BEL,BB-P100-TOT,P1Y,100HAB,0,2019,39.975
BEL,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,39.753
BEL,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,39.975
CAN,BB-P100-TOT,P1Y,100HAB,0,2009,30.599
CAN,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,30.599
CAN,BB-P100-TOT,P1Y,100HAB,0,2010,31.81
CAN,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,31.151
CAN,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,31.81
CAN,BB-P100-TOT,P1Y,100HAB,0,2011,32.842
CAN,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,32.373
CAN,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,32.842
CAN,BB-P100-TOT,P1Y,100HAB,0,2012,33.657
CAN,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,33.089
CAN,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,33.657
CAN,BB-P100-TOT,P1Y,100HAB,0,2013,34.457
CAN,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,34.163
CAN,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,34.457
CAN,BB-P100-TOT,P1Y,100HAB,0,2014,35.469
CAN,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,34.897
CAN,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,35.469
CAN,BB-P100-TOT,P1Y,100HAB,0,2015,36.729
CAN,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,35.894
CAN,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,36.729
CAN,BB-P100-TOT,P1Y,100HAB,0,2016,37.072
CAN,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,37.253
CAN,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,37.072
CAN,BB-P100-TOT,P1Y,100HAB,0,2017,38.103
CAN,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,37.646
CAN,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,38.103
CAN,BB-P100-TOT,P1Y,100HAB,0,2018,38.643
CAN,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,38.641
CAN,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,38.643
CAN,BB-P100-TOT,P1Y,100HAB,0,2019,40.854
CAN,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,39.126
CAN,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,40.854
CZE,BB-P100-TOT,P1Y,100HAB,0,2009,19.407
CZE,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,19.407
CZE,BB-P100-TOT,P1Y,100HAB,0,2010,21.507
CZE,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,20.189
CZE,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,21.507
CZE,BB-P100-TOT,P1Y,100HAB,0,2011,23.782
CZE,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,22.514
CZE,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,23.782
CZE,BB-P100-TOT,P1Y,100HAB,0,2012,25.277
CZE,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,24.643
CZE,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,25.277
CZE,BB-P100-TOT,P1Y,100HAB,0,2013,26.662
CZE,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,26.118
CZE,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,26.662
CZE,BB-P100-TOT,P1Y,100HAB,0,2014,28.75
CZE,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,27.81
CZE,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,28.75
CZE,BB-P100-TOT,P1Y,100HAB,0,2015,28.171
CZE,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,28.593
CZE,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,28.171
CZE,BB-P100-TOT,P1Y,100HAB,0,2016,29.003
CZE,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,28.941
CZE,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,29.003
CZE,BB-P100-TOT,P1Y,100HAB,0,2017,29.62
CZE,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,29.803
CZE,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,29.62
CZE,BB-P100-TOT,P1Y,100HAB,0,2018,30.249
CZE,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,30.207
CZE,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,30.249
CZE,BB-P100-TOT,P1Y,100HAB,0,2019,34.731
CZE,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,30.846
CZE,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,34.731
DNK,BB-P100-TOT,P1Y,100HAB,0,2009,37.667
DNK,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,37.667
DNK,BB-P100-TOT,P1Y,100HAB,0,2010,38.764
DNK,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,38.276
DNK,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,38.764
DNK,BB-P100-TOT,P1Y,100HAB,0,2011,39.236
DNK,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,38.697
DNK,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,39.236
DNK,BB-P100-TOT,P1Y,100HAB,0,2012,39.674
DNK,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,39.15
DNK,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,39.674
DNK,BB-P100-TOT,P1Y,100HAB,0,2013,40.982
DNK,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,40.453
DNK,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,40.982
DNK,BB-P100-TOT,P1Y,100HAB,0,2014,42.17
DNK,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,41.73
DNK,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,42.17
DNK,BB-P100-TOT,P1Y,100HAB,0,2015,42.875
DNK,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,42.578
DNK,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,42.875
DNK,BB-P100-TOT,P1Y,100HAB,0,2016,42.964
DNK,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,43.358
DNK,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,42.964
DNK,BB-P100-TOT,P1Y,100HAB,0,2017,43.556
DNK,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,43.576
DNK,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,43.556
DNK,BB-P100-TOT,P1Y,100HAB,0,2018,43.768
DNK,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,43.887
DNK,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,43.768
DNK,BB-P100-TOT,P1Y,100HAB,0,2019,43.59
DNK,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,43.991
DNK,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,43.59
FIN,BB-P100-TOT,P1Y,100HAB,0,2009,29.332
FIN,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,29.332
FIN,BB-P100-TOT,P1Y,100HAB,0,2010,29.067
FIN,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,29.145
FIN,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,29.067
FIN,BB-P100-TOT,P1Y,100HAB,0,2011,30.399
FIN,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,29.906
FIN,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,30.399
FIN,BB-P100-TOT,P1Y,100HAB,0,2012,31.16
FIN,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,30.585
FIN,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,31.16
FIN,BB-P100-TOT,P1Y,100HAB,0,2013,31.623
FIN,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,31.363
FIN,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,31.623
FIN,BB-P100-TOT,P1Y,100HAB,0,2014,32.183
FIN,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,31.476
FIN,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,32.183
FIN,BB-P100-TOT,P1Y,100HAB,0,2015,31.53
FIN,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,31.689
FIN,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,31.53
FIN,BB-P100-TOT,P1Y,100HAB,0,2016,31.154
FIN,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,31.092
FIN,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,31.154
FIN,BB-P100-TOT,P1Y,100HAB,0,2017,31.045
FIN,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,31.063
FIN,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,31.045
FIN,BB-P100-TOT,P1Y,100HAB,0,2018,31.489
FIN,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,31.008
FIN,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,31.489
FIN,BB-P100-TOT,P1Y,100HAB,0,2019,32.545
FIN,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,31.942
FIN,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,32.545
FRA,BB-P100-TOT,P1Y,100HAB,0,2009,30.545
FRA,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,30.545
FRA,BB-P100-TOT,P1Y,100HAB,0,2010,32.662
FRA,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,31.536
FRA,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,32.662
FRA,BB-P100-TOT,P1Y,100HAB,0,2011,34.803
FRA,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,33.891
FRA,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,34.803
FRA,BB-P100-TOT,P1Y,100HAB,0,2012,36.537
FRA,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,35.69
FRA,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,36.537
FRA,BB-P100-TOT,P1Y,100HAB,0,2013,37.799
FRA,BB-P100-TOT,P1Y,100HAB,0,2013-Q2,37.163
FRA,BB-P100-TOT,P1Y,100HAB,0,2013-Q4,37.799
FRA,BB-P100-TOT,P1Y,100HAB,0,2014,39.171
FRA,BB-P100-TOT,P1Y,100HAB,0,2014-Q2,38.501
FRA,BB-P100-TOT,P1Y,100HAB,0,2014-Q4,39.171
FRA,BB-P100-TOT,P1Y,100HAB,0,2015,40.354
FRA,BB-P100-TOT,P1Y,100HAB,0,2015-Q2,39.626
FRA,BB-P100-TOT,P1Y,100HAB,0,2015-Q4,40.354
FRA,BB-P100-TOT,P1Y,100HAB,0,2016,41.418
FRA,BB-P100-TOT,P1Y,100HAB,0,2016-Q2,40.895
FRA,BB-P100-TOT,P1Y,100HAB,0,2016-Q4,41.418
FRA,BB-P100-TOT,P1Y,100HAB,0,2017,42.884
FRA,BB-P100-TOT,P1Y,100HAB,0,2017-Q2,41.979
FRA,BB-P100-TOT,P1Y,100HAB,0,2017-Q4,42.884
FRA,BB-P100-TOT,P1Y,100HAB,0,2018,43.257
FRA,BB-P100-TOT,P1Y,100HAB,0,2018-Q2,42.746
FRA,BB-P100-TOT,P1Y,100HAB,0,2018-Q4,43.257
FRA,BB-P100-TOT,P1Y,100HAB,0,2019,44.119
FRA,BB-P100-TOT,P1Y,100HAB,0,2019-Q2,43.671
FRA,BB-P100-TOT,P1Y,100HAB,0,2019-Q4,44.119
DEU,BB-P100-TOT,P1Y,100HAB,0,2009,31.034
DEU,BB-P100-TOT,P1Y,100HAB,0,2009-Q4,31.034
DEU,BB-P100-TOT,P1Y,100HAB,0,2010,32.587
DEU,BB-P100-TOT,P1Y,100HAB,0,2010-Q2,31.897
DEU,BB-P100-TOT,P1Y,100HAB,0,2010-Q4,32.587
DEU,BB-P100-TOT,P1Y,100HAB,0,2011,33.917
DEU,BB-P100-TOT,P1Y,100HAB,0,2011-Q2,33.244
DEU,BB-P100-TOT,P1Y,100HAB,0,2011-Q4,33.917
DEU,BB-P100-TOT,P1Y,100HAB,0,2012,34.728
DEU,BB-P100-TOT,P1Y,100HAB,0,2012-Q2,34.524
DEU,BB-P100-TOT,P1Y,100HAB,0,2012-Q4,34.728
DEU,BB-P100-TOT,P1Y,100HAB,0,2013,35.493
