COUNTRY,VARIABLE,TIME_FORMAT,UNIT,POWERCODE,obsTime,obsValue,OBS_STATUS
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2010,3123.3363491,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2011,3075.3361329,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2012,3072.3359619,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2013,3101.1959406,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2014,3157.470569,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2015,3258.9920376,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2016,3392.7436827,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2017,3480.288234,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2018,3545.0704396,E
NZL,T-PASS-RD-CAR,P1Y,PKM,6,2019,3545.1524274,P
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2004,12087.046535813,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2005,12062.893352373,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2006,12590.874021192,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2007,13212.731578192,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2008,14276.384048686,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2009,15004.14159834,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2010,14992.79186061,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2011,15275.793628,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2012,15568.963881337,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2013,15543.667841316,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2014,15571.083308422,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2015,16016.860652115,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2016,16503.758569102,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2017,17039.193726877,NA
AUS,T-PASS-RL-TOT,P1Y,PKM,6,2018,17585.947168902,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2004,82793,B
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2005,82489,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2006,81752,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2007,81307,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2008,79582,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2009,78594,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2010,78092,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2011,77957,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2012,76019,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2013,77146,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2014,78790,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2015,81771,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2016,81455,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2017,79730,NA
DEU,T-PASS-RD-BUS,P1Y,PKM,6,2018,80102,P
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2004,410000,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2005,422915,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2006,436999,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2007,449917,NA
MEX,T-PASS-RD-BUS,P1Y,PKM,6,2008,463865,NA
